utilization.gpu [%], utilization.memory [%]
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
0 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
5 %, 0 %
4 %, 0 %
4 %, 0 %
4 %, 0 %
4 %, 0 %
4 %, 0 %
4 %, 0 %
4 %, 0 %
4 %, 0 %
4 %, 0 %
4 %, 0 %
4 %, 0 %
4 %, 0 %
4 %, 0 %
4 %, 0 %
4 %, 0 %
4 %, 0 %
4 %, 0 %
4 %, 0 %
4 %, 0 %
4 %, 0 %
4 %, 0 %
4 %, 0 %
4 %, 0 %
4 %, 0 %
4 %, 0 %
4 %, 0 %
4 %, 0 %
4 %, 0 %
4 %, 0 %
4 %, 0 %
4 %, 0 %
4 %, 0 %
4 %, 0 %
4 %, 0 %
4 %, 0 %
4 %, 0 %
4 %, 0 %
4 %, 0 %
4 %, 0 %
4 %, 0 %
4 %, 0 %
4 %, 0 %
4 %, 0 %
4 %, 0 %
4 %, 0 %
4 %, 0 %
4 %, 0 %
4 %, 0 %
4 %, 0 %
4 %, 0 %
4 %, 0 %
4 %, 0 %
4 %, 0 %
4 %, 0 %
4 %, 0 %
4 %, 0 %
4 %, 0 %
4 %, 0 %
4 %, 0 %
4 %, 0 %
4 %, 0 %
4 %, 0 %
4 %, 0 %
4 %, 0 %
4 %, 0 %
4 %, 0 %
4 %, 0 %
4 %, 0 %
4 %, 0 %
4 %, 0 %
4 %, 0 %
4 %, 0 %
4 %, 0 %
4 %, 0 %
4 %, 0 %
4 %, 0 %
4 %, 0 %
4 %, 0 %
4 %, 0 %
4 %, 0 %
4 %, 0 %
4 %, 0 %
4 %, 0 %
4 %, 0 %
4 %, 0 %
4 %, 0 %
4 %, 0 %
4 %, 0 %
4 %, 0 %
4 %, 0 %
4 %, 0 %
4 %, 0 %
4 %, 0 %
4 %, 0 %
4 %, 0 %
4 %, 0 %
4 %, 0 %
4 %, 0 %
4 %, 0 %
4 %, 0 %
4 %, 0 %
4 %, 0 %
4 %, 0 %
4 %, 0 %
4 %, 0 %
4 %, 0 %
4 %, 0 %
4 %, 0 %
4 %, 0 %
4 %, 0 %
4 %, 0 %
4 %, 0 %
4 %, 0 %
4 %, 0 %
4 %, 0 %
4 %, 0 %
4 %, 0 %
4 %, 0 %
4 %, 0 %
4 %, 0 %
4 %, 0 %
4 %, 0 %
4 %, 0 %
4 %, 0 %
4 %, 0 %
4 %, 0 %
4 %, 0 %
4 %, 0 %
4 %, 0 %
4 %, 0 %
4 %, 0 %
4 %, 0 %
6 %, 0 %
6 %, 0 %
6 %, 0 %
6 %, 0 %
6 %, 0 %
6 %, 0 %
6 %, 0 %
6 %, 0 %
6 %, 0 %
6 %, 0 %
6 %, 0 %
6 %, 0 %
6 %, 0 %
6 %, 0 %
6 %, 0 %
6 %, 0 %
6 %, 0 %
6 %, 0 %
6 %, 0 %
6 %, 0 %
6 %, 0 %
6 %, 0 %
6 %, 0 %
6 %, 0 %
6 %, 0 %
6 %, 0 %
6 %, 0 %
6 %, 0 %
6 %, 0 %
6 %, 0 %
6 %, 0 %
6 %, 0 %
6 %, 0 %
6 %, 0 %
6 %, 0 %
6 %, 0 %
6 %, 0 %
6 %, 0 %
6 %, 0 %
6 %, 0 %
6 %, 0 %
6 %, 0 %
6 %, 0 %
6 %, 0 %
6 %, 0 %
6 %, 0 %
6 %, 0 %
6 %, 0 %
6 %, 0 %
6 %, 0 %
6 %, 0 %
6 %, 0 %
6 %, 0 %
6 %, 0 %
6 %, 0 %
6 %, 0 %
6 %, 0 %
6 %, 0 %
6 %, 0 %
6 %, 0 %
6 %, 0 %
6 %, 0 %
6 %, 0 %
6 %, 0 %
6 %, 0 %
6 %, 0 %
6 %, 0 %
6 %, 0 %
6 %, 0 %
6 %, 0 %
6 %, 0 %
6 %, 0 %
6 %, 0 %
6 %, 0 %
6 %, 0 %
6 %, 0 %
6 %, 0 %
6 %, 0 %
6 %, 0 %
6 %, 0 %
6 %, 0 %
6 %, 0 %
6 %, 0 %
6 %, 0 %
6 %, 0 %
6 %, 0 %
6 %, 0 %
6 %, 0 %
6 %, 0 %
6 %, 0 %
6 %, 0 %
6 %, 0 %
6 %, 0 %
6 %, 0 %
6 %, 0 %
6 %, 0 %
6 %, 0 %
6 %, 0 %
6 %, 0 %
6 %, 0 %
6 %, 0 %
6 %, 0 %
6 %, 0 %
6 %, 0 %
6 %, 0 %
6 %, 0 %
6 %, 0 %
6 %, 0 %
6 %, 0 %
6 %, 0 %
6 %, 0 %
6 %, 0 %
6 %, 0 %
6 %, 0 %
6 %, 0 %
6 %, 0 %
6 %, 0 %
6 %, 0 %
6 %, 0 %
6 %, 0 %
6 %, 0 %
6 %, 0 %
6 %, 0 %
6 %, 0 %
6 %, 0 %
6 %, 0 %
6 %, 0 %
6 %, 0 %
6 %, 0 %
6 %, 0 %
6 %, 0 %
6 %, 0 %
6 %, 0 %
6 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
8 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
9 %, 0 %
7 %, 0 %
7 %, 0 %
7 %, 0 %
7 %, 0 %
7 %, 0 %
7 %, 0 %
7 %, 0 %
7 %, 0 %
7 %, 0 %
7 %, 0 %
7 %, 0 %
7 %, 0 %
7 %, 0 %
7 %, 0 %
7 %, 0 %
7 %, 0 %
7 %, 0 %
7 %, 0 %
7 %, 0 %
7 %, 0 %
7 %, 0 %
7 %, 0 %
7 %, 0 %
7 %, 0 %
7 %, 0 %
7 %, 0 %
7 %, 0 %
7 %, 0 %
7 %, 0 %
7 %, 0 %
7 %, 0 %
7 %, 0 %
7 %, 0 %
7 %, 0 %
7 %, 0 %
7 %, 0 %
7 %, 0 %
7 %, 0 %
7 %, 0 %
7 %, 0 %
7 %, 0 %
7 %, 0 %
7 %, 0 %
7 %, 0 %
7 %, 0 %
7 %, 0 %
7 %, 0 %
7 %, 0 %
7 %, 0 %
7 %, 0 %
7 %, 0 %
7 %, 0 %
7 %, 0 %
7 %, 0 %
7 %, 0 %
7 %, 0 %
7 %, 0 %
7 %, 0 %
7 %, 0 %
7 %, 0 %
7 %, 0 %
7 %, 0 %
7 %, 0 %
7 %, 0 %
7 %, 0 %
7 %, 0 %
7 %, 0 %
7 %, 0 %
7 %, 0 %
7 %, 0 %
7 %, 0 %
7 %, 0 %
7 %, 0 %
7 %, 0 %
7 %, 0 %
7 %, 0 %
7 %, 0 %
7 %, 0 %
7 %, 0 %
7 %, 0 %
7 %, 0 %
7 %, 0 %
7 %, 0 %
7 %, 0 %
7 %, 0 %
7 %, 0 %
7 %, 0 %
7 %, 0 %
7 %, 0 %
7 %, 0 %
7 %, 0 %
7 %, 0 %
7 %, 0 %
7 %, 0 %
7 %, 0 %
7 %, 0 %
7 %, 0 %
7 %, 0 %
7 %, 0 %
7 %, 0 %
7 %, 0 %
7 %, 0 %
7 %, 0 %
7 %, 0 %
7 %, 0 %
7 %, 0 %
7 %, 0 %
7 %, 0 %
7 %, 0 %
7 %, 0 %
7 %, 0 %
7 %, 0 %
7 %, 0 %
7 %, 0 %
7 %, 0 %
7 %, 0 %
7 %, 0 %
7 %, 0 %
7 %, 0 %
7 %, 0 %
7 %, 0 %
7 %, 0 %
7 %, 0 %
7 %, 0 %
7 %, 0 %
7 %, 0 %
7 %, 0 %
7 %, 0 %
7 %, 0 %
7 %, 0 %
7 %, 0 %
7 %, 0 %
7 %, 0 %
7 %, 0 %
7 %, 0 %
7 %, 0 %
7 %, 0 %
7 %, 0 %
1 %, 0 %
1 %, 0 %
1 %, 0 %
1 %, 0 %
1 %, 0 %
1 %, 0 %
1 %, 0 %
1 %, 0 %
1 %, 0 %
1 %, 0 %
